# Hydro quantities of SFHo-s18.80-MUONS at time t_pb= 1.0001996s
shock radius= 8710.0523 km, gain radius= 21.053746 km
# cols=25 rows=1088 format=(x,f18.4,f18.14,3e18.10,f18.10,e18.10,18f18.10)
#            radius   mass coordinate           density   internal energy       temperature           entropy   radial velocity       grav. lapse             mu_nu              mu_e              mu_n              mu_p             mu_mu           mu_numu               X_n               X_p           X_alpha           X_Light           X_Heavy               Y_e              Y_mu               U_n               U_p              m*_n              m*_p
#              [cm]           [m_sol]          [g/cm^3]        [erg/cm^3]             [MeV]             [k_b]            [cm/s]               [1]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]             [MeV]             [MeV]             [MeV]             [MeV]
        589568.3750  0.21622486353326  4.3692212033e+14  2.7551359335e+34  2.9059023200e+01      1.9322680331 -4.8702653595e+03      0.7668025343    117.2966380160    221.4459892733     47.2171295305    -55.6389316360     63.1264114683    -41.0229397891      0.7841090459      0.2158909541      0.0000000000      0.0000000000      0.0000000000      0.2122815372      0.0036094169    -39.8305838861    -75.9544861635    618.6452058387    617.3519157479
        606297.7812  0.23255130345316  4.2698988859e+14  2.7120987164e+34  2.9879529408e+01      2.0036701644 -3.6066739275e+02      0.7684369528    114.3420382928    218.6611626841     43.9455149651    -59.0803193355     64.8313214158    -39.4878029756      0.7841134617      0.2158865383      0.0000000000      0.0000000000      0.0000000000      0.2116106856      0.0042758527    -40.1186096758    -76.6503732316    624.3135652766    623.0202751858
        623501.9062  0.24988496828018  4.1640681443e+14  2.6666930837e+34  3.0756316883e+01      2.0814156134 -7.1305006447e+03      0.7701500228    110.9957294452    215.5722692065     40.3266152332    -62.9566344373     66.7514056407    -37.8251341206      0.7841604001      0.2158395999      0.0000000000      0.0000000000      0.0000000000      0.2107540852      0.0050855147    -40.4141172376    -77.3905332368    630.4872805766    629.1939904858
        641194.2188  0.26823765356246  4.0473081894e+14  2.6225532769e+34  3.1687791068e+01      2.1674037781 -1.0837282931e+03      0.7719438786    107.2241869165    212.0157859431     36.7090461451    -66.7892627907     68.7594906359    -36.0321083908      0.7840630903      0.2159369097      0.0000000000      0.0000000000      0.0000000000      0.2098399818      0.0060969279    -40.4657968681    -77.8020912593    637.1579461437    635.8646560529
        659388.5625  0.28761890525214  3.9263931472e+14  2.5738351753e+34  3.2666365906e+01      2.2577258590 -3.7940926206e+02      0.7738200439    103.0012522849    208.1226157263     32.8551098170    -70.9729635337     70.9990459665    -34.1223174750      0.7842277941      0.2157722059      0.0000000000      0.0000000000      0.0000000000      0.2084451002      0.0073271057    -40.5426576708    -78.2992139776    644.2441519840    642.9508618933
        678099.1875  0.30804650812156  3.8014503940e+14  2.5192524135e+34  3.3673980288e+01      2.3524829679 -9.6450633447e+03      0.7757797673     98.1792134800    203.8325448837     28.6866507236    -75.6733905893     73.5381016378    -32.1152297660      0.7847340165      0.2152659835      0.0000000000      0.0000000000      0.0000000000      0.2063949694      0.0088710141    -40.6253032650    -78.8748684875    651.7822668551    650.4889767643
        697340.7188  0.32951378394979  3.6664368021e+14  2.4610155833e+34  3.4691277110e+01      2.4532722203  2.5839839084e+03      0.7778237503     92.7603337040    198.9783534843     24.5779447207    -80.3467849688     76.1682329164    -30.0497868639      0.7854178210      0.2145821790      0.0000000000      0.0000000000      0.0000000000      0.2038666170      0.0107155620    -40.4334184308    -79.0768276942    659.7630117637    658.4697216729
        717128.2188  0.35201102014730  3.5298985186e+14  2.3978257099e+34  3.5705937126e+01      2.5557984556  4.5073412079e+03      0.7799518835     86.6881647293    193.6003761328     20.2914155738    -85.3275057389     78.9677844545    -27.9444269489      0.7864833720      0.2135166280      0.0000000000      0.0000000000      0.0000000000      0.2005765976      0.0129400303    -40.2674366143    -79.3736329293    668.0906695076    666.7973794168
        737477.2188  0.37553903850586  3.3905315689e+14  2.3255166971e+34  3.6670175996e+01      2.6577890563  1.5884080994e+03      0.7821636566     79.7376388465    187.6236399525     16.0891509358    -90.5035600794     82.0238496829    -25.8621514231      0.7883886540      0.2116113460      0.0000000000      0.0000000000      0.0000000000      0.1960352070      0.0155761389    -39.9555539602    -79.5507785012    676.6259845514    675.3326944606
        758403.6562  0.40009183880686  3.2501284831e+14  2.2451412286e+34  3.7564138311e+01      2.7583944334  8.6278993193e+04      0.7844575474     72.1241211731    181.1958653290     11.9168904364    -95.8615636287     85.2315607903    -23.8401833656      0.7909227510      0.2090772490      0.0000000000      0.0000000000      0.0000000000      0.1903930608      0.0186841882    -39.5212354309    -79.6134075871    685.3345271876    684.0412370968
