# Hydro quantities of LS220-s20.0-MUONS at time t_pb= 1.0001464s
shock radius= 5382.0221 km, gain radius= 19.650524 km
# cols=25 rows=1089 format=(x,f18.4,f18.14,3e18.10,f18.10,e18.10,18f18.10)
#            radius   mass coordinate           density   internal energy       temperature           entropy   radial velocity       grav. lapse             mu_nu              mu_e              mu_n              mu_p             mu_mu           mu_numu               X_n               X_p           X_alpha           X_Light           X_Heavy               Y_e              Y_mu               U_n               U_p              m*_n              m*_p
#              [cm]           [m_sol]          [g/cm^3]        [erg/cm^3]             [MeV]             [k_b]            [cm/s]               [1]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]             [MeV]             [MeV]             [MeV]             [MeV]
        498452.0312  0.20336931057402  7.0663147467e+14  8.8053683525e+34  3.9776441540e+01      2.3720904021 -2.5813816148e+05      0.6321282624    134.8867013883    279.5079743790    138.1870191658     -5.1409637341     35.0111786055   -109.6100943852      0.7267491819      0.2732508181      0.0000000000      0.0000000000      0.0000000000      0.2706965858      0.0025542322     65.1011328329    -17.7201181775    939.5656305188    938.2723404280
        512595.9531  0.21938577784868  6.9557268530e+14  8.7097568283e+34  4.1263852682e+01      2.4499605942 -2.6427025001e+05      0.6340777818    131.4180889214    275.9713732124    131.6544096301    -11.6055845701     37.6272937464   -106.9259905446      0.7274680179      0.2725319821      0.0000000000      0.0000000000      0.0000000000      0.2693384427      0.0031935393     61.1183976218    -20.6372779751    939.5656305188    938.2723404280
        527141.2031  0.23652068428008  6.8380461607e+14  8.6100668479e+34  4.2837806998e+01      2.5321105209 -2.6156836111e+05      0.6361305267    127.4255942597    272.1219007806    125.1651617258    -18.2378547043     40.7262186637   -103.9700878572      0.7283839972      0.2716160028      0.0000000000      0.0000000000      0.0000000000      0.2675826176      0.0040333852     57.4076787008    -23.3335052546    939.5656305188    938.2723404280
        542099.1875  0.25482827788832  6.7135084663e+14  8.5070713922e+34  4.4485109703e+01      2.6181749833 -2.6405663019e+05      0.6382908157    122.8417531356    267.6959115841    118.1291961770    -25.4316721807     44.1246726800   -100.7294857684      0.7293984970      0.2706015030      0.0000000000      0.0000000000      0.0000000000      0.2654981778      0.0051033252     53.4095175156    -26.2368146865    939.5656305188    938.2723404280
        557481.6250  0.27436333210930  6.5827236097e+14  8.3935251194e+34  4.6201915411e+01      2.7074742399 -2.6214099028e+05      0.6405631182    117.6528001469    262.7930085867    110.5891495209    -33.2577688281     47.9723016306    -97.1679068092      0.7306831591      0.2693168409      0.0000000000      0.0000000000      0.0000000000      0.2628461410      0.0064706999     49.1568929104    -29.3708678439    939.5656305188    938.2723404280
        573300.5625  0.29518221536611  6.4467408183e+14  8.2623716409e+34  4.7958895186e+01      2.7985134805 -2.6460415325e+05      0.6429518946    111.7994918004    257.4556100502    102.6412608443    -41.7215673147     52.3492146160    -93.3069036338      0.7324174807      0.2675825193      0.0000000000      0.0000000000      0.0000000000      0.2593515456      0.0082309737     44.6969265629    -32.7485457977    939.5656305188    938.2723404280
        589568.3750  0.31733786436619  6.3033396683e+14  8.1285382320e+34  4.9719975870e+01      2.8917079914 -2.6109000028e+05      0.6454613633    105.3248206226    251.5011720473     94.7077476146    -50.1753137193     56.9958278262    -89.1805235985      0.7341473018      0.2658526982      0.0000000000      0.0000000000      0.0000000000      0.2554429683      0.0104097298     40.4698456548    -35.8495102261    939.5656305188    938.2723404280
        606297.7812  0.34088183131402  6.1551365430e+14  7.9785786856e+34  5.1442329195e+01      2.9842361838 -2.6671439119e+05      0.6480955987     98.3085047983    245.0818977201     86.5470922028    -58.9330106282     61.9532138844    -84.8201790374      0.7361154464      0.2638845536      0.0000000000      0.0000000000      0.0000000000      0.2508483146      0.0130362391     36.1868225518    -38.9916340465    939.5656305188    938.2723404280
        623501.9062  0.36587253029036  6.0044032890e+14  7.8050508244e+34  5.3082027503e+01      3.0741418458 -2.6208606346e+05      0.6508585745     90.8644342002    238.3246972064     78.2011867731    -67.9657861423     67.1657296232    -80.2945333830      0.7384549923      0.2615450077      0.0000000000      0.0000000000      0.0000000000      0.2453370324      0.0162079753     31.7526149641    -42.2943836079    939.5656305188    938.2723404280
        641194.2188  0.39237134845882  5.8510834176e+14  7.6105132063e+34  5.4594071095e+01      3.1595175442 -2.7115396082e+05      0.6537541372     83.0833646671    231.2712758179     69.9945946290    -76.9000264309     72.5221882108    -75.6657229399      0.7410818770      0.2589181230      0.0000000000      0.0000000000      0.0000000000      0.2390871860      0.0198309371     27.4056740350    -45.5318729886    939.5656305188    938.2723404280
